question,answer
WHAT IS THE NAME OF THE HORSE-LIKE ANIMAL WITH BLACK AND WHITE STRIPES?,ZEBRA
WHAT IS THE NAME OF THE LONG SLEEP SOME ANIMALS GO THROUGH DURING THE ENTIRE WINTER?,HIBERNATION
WHAT IS THE NAME OF THE RUBBER OBJECT THAT IS HIT BACK AND FORTH BY HOCKEY PLAYERS?,PUCK
WHAT IS THE NAME OF THE REMAINS OF PLANTS AND ANIMALS THAT ARE FOUND IN STONE?,FOSSILS
WHICH PRECIOUS GEM IS RED?,RUBY
WHAT IS THE NAME OF THE SEVERE HEADACHE THAT RETURNS PERIODICALLY AND OFTEN IS ACCOMPANIED BY NAUSEA?,MIGRAINE
WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “ROMEO AND JULIET”?,SHAKESPEARE
WHAT IS THE NAME OF A DRIED GRAPE?,RAISIN
WHAT IS THE NAME OF THE COMIC STRIP CHARACTER WHO EATS SPINACH TO INCREASE HIS STRENGTH?,POPEYE
WHAT ANIMAL RUNS THE FASTEST?,CHEETAH
WHAT IS THE NAME OF THE PROCESS BY WHICH PLANTS MAKE THEIR FOOD?,PHOTOSYNTHESIS
WHAT IS THE NAME OF DOROTHY’S DOG IN “THE WIZARD OF OZ”?,TOTO
WHAT IS THE NAME OF THE MOLTEN ROCK THAT RUNS DOWN THE SIDE OF A VOLCANO DURING AN ERUPTION?,LAVA
WHAT WAS THE NAME OF THE SUPPOSEDLY UNSINKABLE SHIP THAT SUNK ON ITS MAIDEN VOYAGE IN 1912?,TITANIC
WHICH SPORT USES THE TERMS “GUTTER” AND “ALLEY”?,BOWLING
WHAT IS THE NAME OF A GIANT OCEAN WAVE CAUSED BY AN EARTHQUAKE?,TSUNAMI
WHAT IS THE TERM FOR HITTING A VOLLEYBALL DOWN HARD INTO THE OPPONENT’S COURT?,SPIKE
WHAT IS THE LAST NAME OF THE VILLAINOUS CAPTAIN IN THE STORY “PETER PAN”?,HOOK
WHAT WAS THE NAME OF TARZAN’S GIRLFRIEND?,JANE
WHAT IS THE LAST NAME OF THE BROTHERS WHO FLEW THE FIRST AIRPLANE AT KITTY HAWK?,WRIGHT
WHAT IS THE NAME FOR A MEDICAL DOCTOR WHO SPECIALIZES IN CUTTING THE BODY?,SURGEON
WHAT IS THE LAST NAME OF THE FIRST PERSON TO SET FOOT ON THE MOON?,ARMSTRONG
WHAT IS THE CAPITAL OF FRANCE?,PARIS
WHAT IS THE NAME OF THE CRIME IN WHICH A BUILDING OR PROPERTY IS PURPOSELY SET ON FIRE?,ARSON
WHAT IS THE NAME OF THE SHORT PLEATED SKIRT WORN BY MEN IN SCOTLAND?,KILT
WHAT IS THE NAME OF AN INABILITY TO SLEEP?,INSOMNIA
WHAT IS THE NAME FOR A MEDICAL DOCTOR WHO SPECIALIZES IN DISEASES OF THE SKIN?,DERMATOLOGIST
WHAT IS THE NAME OF THE LARGEST OCEAN ON EARTH?,PACIFIC
WHAT IS THE NAME OF THE SHIP THAT CARRIED THE PILGRIMS TO AMERICA IN 1620?,MAYFLOWER
WHAT IS THE NAME FOR A CYCLONE THAT OCCURS OVER LAND?,TORNADO
WHICH SPORT IS ASSOCIATED WITH WIMBLEDON?,TENNIS
WHAT IS THE NAME OF THE BIRD THAT CANNOT FLY AND IS THE LARGEST BIRD ON EARTH?,OSTRICH
WHAT IS THE NAME OF THE ISLAND-CITY BELIEVED SINCE ANTIQUITY TO HAVE SUNK INTO THE OCEAN?,ATLANTIS
WHAT IS THE NAME OF THE LIZARD THAT CHANGES ITS COLOR TO MATCH THE SURROUNDINGS?,CHAMELEON
WHAT IS THE NAME OF THE THICK LAYER OF FAT ON A WHALE?,BLUBBER
WHAT IS THE LAST NAME OF THE BASEBALL PLAYER WHO HAD THE MOST HOME RUNS IN A SINGLE SEASON PRIOR TO 1961?,RUTH
WHAT IS THE NAME OF A YOUNG SHEEP?,LAMB
WHAT IS THE LARGEST PLANET IN THE SOLAR SYSTEM?,JUPITER
WHAT IS THE NAME OF THE NAVIGATION INSTRUMENT USED AT SEA TO PLOT POSITION RELATIVE TO THE MAGNETIC NORTH POLE?,COMPASS
WHAT IS THE TERM IN GOLF REFERRING TO A SCORE OF ONE UNDER PAR ON A PARTICULAR HOLE?,BIRDIE
WHICH GAME USES A RUBBER BALL AND LITTLE METAL PIECES?,JACKS
WHAT IS THE NAME OF A DRIED PLUM?,PRUNE
IN WHICH SPORT DOES A RIDER ON HORSEBACK HIT A BALL WITH HIS MALLET?,POLO
WHAT IS THE NAME OF THE LEGENDARY ONE-EYED GIANT IN GREEK MYTHOLOGY?,CYCLOPS
IN WHAT PARK IS “OLD FAITHFUL” LOCATED?,YELLOWSTONE
WHAT IS THE NAME OF THE POKER HAND IN WHICH ALL OF THE CARDS ARE OF THE SAME SUIT?,FLUSH
IN WHICH SPORT IS THE STANLEY CUP AWARDED?,HOCKEY
WHAT IS THE NAME OF THE CHAPEL WHOSE CEILING WAS PAINTED BY MICHELANGELO?,SISTINE
OF WHICH COUNTRY IS BAGHDAD THE CAPITAL?,IRAQ
WHAT IS THE NAME OF THE LIQUID PORTION OF WHOLE BLOOD?,PLASMA
WHAT IS THE NAME OF THE CITY IN ITALY THAT IS KNOWN FOR ITS CANALS?,VENICE
WHAT IS THE NAME OF THE SPEAR LIKE OBJECT THAT IS THROWN DURING A TRACK MEET?,JAVELIN
WHAT IS THE LAST NAME OF THE MAN WHO RODE HORSEBACK IN 1775 TO WARN THAT THE BRITISH WERE COMING?,REVERE
WHO WAS THE EGYPTIAN QUEEN WHO JOINED FORCES WITH MARK ANTONY OF ROME?,CLEOPATRA
WHAT IS THE LAST NAME OF THE MAN WHO ASSASSINATED ABRAHAM LINCOLN?,BOOTH
